Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
9	:	1758635584.409	     7.459	0	39	0	0	lepzoo classification run-serial Muon0 RunSummer24 --file-index 8 --silence-mode
11	:	1758635584.415	     7.500	0	39	0	0	lepzoo classification run-serial Muon0 RunSummer24 --file-index 10 --silence-mode
6	:	1758635584.401	     7.581	0	39	0	0	lepzoo classification run-serial Muon0 RunSummer24 --file-index 5 --silence-mode
3	:	1758635584.395	     7.591	0	39	0	0	lepzoo classification run-serial Muon0 RunSummer24 --file-index 2 --silence-mode
1	:	1758635584.391	     7.642	0	39	0	0	lepzoo classification run-serial Muon0 RunSummer24 --file-index 0 --silence-mode
7	:	1758635584.403	     7.685	0	39	0	0	lepzoo classification run-serial Muon0 RunSummer24 --file-index 6 --silence-mode
8	:	1758635584.406	     7.796	0	39	0	0	lepzoo classification run-serial Muon0 RunSummer24 --file-index 7 --silence-mode
5	:	1758635584.399	     7.890	0	39	0	0	lepzoo classification run-serial Muon0 RunSummer24 --file-index 4 --silence-mode
2	:	1758635584.393	     8.013	0	39	0	0	lepzoo classification run-serial Muon0 RunSummer24 --file-index 1 --silence-mode
4	:	1758635584.397	     9.024	0	39	0	0	lepzoo classification run-serial Muon0 RunSummer24 --file-index 3 --silence-mode
12	:	1758635584.418	     9.101	0	39	0	0	lepzoo classification run-serial Muon0 RunSummer24 --file-index 11 --silence-mode
10	:	1758635584.412	    10.261	0	39	0	0	lepzoo classification run-serial Muon0 RunSummer24 --file-index 9 --silence-mode
13	:	1758635591.871	     7.312	0	39	0	0	lepzoo classification run-serial Muon0 RunSummer24 --file-index 12 --silence-mode
15	:	1758635591.986	     7.292	0	39	0	0	lepzoo classification run-serial Muon0 RunSummer24 --file-index 14 --silence-mode
20	:	1758635592.295	     7.299	0	39	0	0	lepzoo classification run-serial Muon0 RunSummer24 --file-index 19 --silence-mode
19	:	1758635592.207	     7.489	0	39	0	0	lepzoo classification run-serial Muon0 RunSummer24 --file-index 18 --silence-mode
14	:	1758635591.918	     8.088	0	39	0	0	lepzoo classification run-serial Muon0 RunSummer24 --file-index 13 --silence-mode
21	:	1758635592.411	     7.838	0	39	0	0	lepzoo classification run-serial Muon0 RunSummer24 --file-index 20 --silence-mode
17	:	1758635592.039	     8.333	0	39	0	0	lepzoo classification run-serial Muon0 RunSummer24 --file-index 16 --silence-mode
22	:	1758635593.429	     7.138	0	39	0	0	lepzoo classification run-serial Muon0 RunSummer24 --file-index 21 --silence-mode
18	:	1758635592.093	     8.495	0	39	0	0	lepzoo classification run-serial Muon0 RunSummer24 --file-index 17 --silence-mode
16	:	1758635591.990	     8.634	0	39	0	0	lepzoo classification run-serial Muon0 RunSummer24 --file-index 15 --silence-mode
24	:	1758635594.676	     6.785	0	39	0	0	lepzoo classification run-serial Muon0 RunSummer24 --file-index 23 --silence-mode
23	:	1758635593.533	     8.496	0	39	0	0	lepzoo classification run-serial Muon0 RunSummer24 --file-index 22 --silence-mode
26	:	1758635599.281	     7.596	0	39	0	0	lepzoo classification run-serial Muon0 RunSummer24 --file-index 25 --silence-mode
27	:	1758635599.597	     7.484	0	39	0	0	lepzoo classification run-serial Muon0 RunSummer24 --file-index 26 --silence-mode
25	:	1758635599.186	     8.228	0	39	0	0	lepzoo classification run-serial Muon0 RunSummer24 --file-index 24 --silence-mode
31	:	1758635600.384	     7.131	0	39	0	0	lepzoo classification run-serial Muon0 RunSummer24 --file-index 30 --silence-mode
28	:	1758635599.700	     7.986	0	39	0	0	lepzoo classification run-serial Muon0 RunSummer24 --file-index 27 --silence-mode
34	:	1758635600.630	     7.184	0	39	0	0	lepzoo classification run-serial Muon0 RunSummer24 --file-index 33 --silence-mode
29	:	1758635600.011	     7.981	0	39	0	0	lepzoo classification run-serial Muon0 RunSummer24 --file-index 28 --silence-mode
30	:	1758635600.255	     7.959	0	39	0	0	lepzoo classification run-serial Muon0 RunSummer24 --file-index 29 --silence-mode
32	:	1758635600.573	     7.653	0	39	0	0	lepzoo classification run-serial Muon0 RunSummer24 --file-index 31 --silence-mode
33	:	1758635600.594	     7.665	0	39	0	0	lepzoo classification run-serial Muon0 RunSummer24 --file-index 32 --silence-mode
35	:	1758635601.466	     7.914	0	39	0	0	lepzoo classification run-serial Muon0 RunSummer24 --file-index 34 --silence-mode
